"Id","SalePrice"
1461,114584.426796526
1462,160616.930303
1463,180182.402862204
1464,199840.574676528
1465,187653.335066336
1466,171079.136540894
1467,181211.839832284
1468,166116.940948184
1469,200595.536059695
1470,115065.392281514
1471,204900.112420942
1472,96670.1117503285
1473,95051.3813347504
1474,146697.56014165
1475,110142.802875629
1476,344505.832280105
1477,239601.772926375
1478,301577.187437977
1479,291482.789136947
1480,425644.098724557
1481,316390.854936347
1482,210015.397813461
1483,185870.664955188
1484,162366.276535017
1485,208387.539009218
1486,199842.177226511
1487,302037.272464068
1488,232061.897073852
1489,184024.609373785
1490,222540.109924279
1491,194425.588133704
1492,90162.175183317
1493,183754.326116812
1494,289161.373197007
1495,285561.252729928
1496,223741.000411807
1497,174088.811502319
1498,156804.035472661
1499,159410.17884298
1500,150737.647998812
1501,166795.550406547
1502,145242.207023638
1503,270982.995125178
1504,237986.381387174
1505,219756.414819287
1506,201180.904608078
1507,240883.753637062
1508,208057.778892189
1509,164434.228375287
1510,147044.291633581
1511,151134.475572515
1512,171977.826192632
1513,153342.601793426
1514,154940.836860832
1515,200160.136788236
1516,169361.739213908
1517,174234.57055971
1518,138104.413754237
1519,211868.081325052
1520,125617.461559928
1521,132556.254205635
1522,181566.54240918
1523,105975.228860947
1524,132289.779781391
1525,115099.978895647
1526,112911.657595407
1527,103328.540977559
1528,146606.524358557
1529,143376.530178341
1530,171977.314089807
1531,111139.667053569
1532,106336.194531579
1533,155994.587435772
1534,134020.34314663
1535,160682.769714746
1536,118492.88048604
1537,59791.9885480669
1538,144726.663802985
1539,226494.172406147
1540,94977.2198651286
1541,155240.172475251
1542,140216.02222525
1543,174131.723171174
1544,84252.7237474305
1545,110767.038811434
1546,137821.225496436
1547,132503.380141256
1548,133821.443716865
1549,114699.964453847
1550,130400.068220804
1551,126898.857554166
1552,122931.192401878
1553,140429.750096732
1554,114383.547960593
1555,168481.138126797
1556,176982.613251828
1557,99949.1025435878
1558,99179.485552164
1559,77258.5247025282
1560,140800.803255595
1561,123667.079820099
1562,131423.00246848
1563,116708.172846937
1564,162052.641341284
1565,140805.217973314
1566,235032.748686827
1567,76274.5148156334
1568,229731.903733617
1569,134965.181372273
1570,150796.389948896
1571,131424.765042361
1572,146415.864397212
1573,243329.16732988
1574,121142.501981044
1575,211270.806149528
1576,244776.400695987
1577,182719.00554163
1578,150520.313116839
1579,140306.256702416
